"ictKey","Translated ictMarketTemplateName","Translated ictSelectionTemplateName"
"","",""
"baseball|two-participant-event|match-winner|A","Pobjednik (Uključujući dodatne ininge)","2"
"baseball|two-participant-event|race-to|H","Prvi tim do ${line} ranova","1"
"baseball|two-participant-event|race-to|N","Prvi tim do ${line} ranova","X"
"baseball|two-participant-event|race-to|A","Prvi tim do ${line} ranova","2"
"basketball|two-participant-event|first-half-handicap|H","Prvo poluvrijeme hendikep (${line})","1"
"basketball|two-participant-event|first-half-handicap|D","Prvo poluvrijeme hendikep (${line})","X"
"basketball|two-participant-event|first-half-handicap|A","Prvo poluvrijeme hendikep (${line})","2"
"basketball|two-participant-event|second-half-handicap|H","Drugo poluvrijeme hendikep (${line})","1"
"basketball|two-participant-event|second-half-handicap|D","Drugo poluvrijeme hendikep (${line})","X"
"basketball|two-participant-event|second-half-handicap|A","Drugo poluvrijeme hendikep (${line})","2"
"basketball|two-participant-event|first-half-points-over-under|O","Prvo poluvrijeme ukupno poena (Manje/više od ${line})","Više od ${line}"
"basketball|two-participant-event|first-half-points-over-under|U","Prvo poluvrijeme ukupno poena (Manje/više od ${line})","Manje od ${line}"
"basketball|two-participant-event|second-half-points-over-under|O","Drugo poluvrijeme ukupno poena (Manje/više od ${line})","Više od ${line}"
"basketball|two-participant-event|second-half-points-over-under|U","Drugo poluvrijeme ukupno poena (Manje/više od ${line})","Manje od ${line}"
"basketball|two-participant-event|1st-half-winner|H","Prvo poluvrijeme pobjednik","1"
"basketball|two-participant-event|1st-half-winner|D","Prvo poluvrijeme pobjednik","X"
"basketball|two-participant-event|1st-half-winner|A","Prvo poluvrijeme pobjednik","2"
"basketball|two-participant-event|2nd-half-winner|H","Drugo poluvrijeme pobjednik","1"
"basketball|two-participant-event|2nd-half-winner|D","Drugo poluvrijeme pobjednik","X"
"basketball|two-participant-event|2nd-half-winner|A","Drugo poluvrijeme pobjednik","2"
"basketball|two-participant-event|match-handicap|H","Hendikep (${line})","1"
"basketball|two-participant-event|match-handicap|D","Hendikep (${line})","X"
"basketball|two-participant-event|match-handicap|A","Hendikep (${line})","2"
"basketball|two-participant-event|match-winner|H","Pobjednik","1"
"basketball|two-participant-event|match-winner|A","Pobjednik","2"
"basketball|two-participant-event|total-points-over-under|O","Ukupno poena (Manje/više od ${line})","Više od ${line}"
"basketball|two-participant-event|total-points-over-under|U","Ukupno poena (Manje/više od ${line})","Manje od ${line}"
"basketball|two-participant-event|home-total-points-over-under|O","Domaćin ukupno poena (Manje/više od ${line})","Više od ${line}"
"basketball|two-participant-event|home-total-points-over-under|U","Domaćin ukupno poena (Manje/više od ${line})","Manje od ${line}"
"basketball|two-participant-event|away-total-points-over-under|O","Gost ukupno poena (Manje/više od ${line})","Više od ${line}"
"basketball|two-participant-event|away-total-points-over-under|U","Gost ukupno poena (Manje/više od ${line})","Manje od ${line}"
"boxing|two-participant-event|fight-winner|H","Pobjednik","1"
"boxing|two-participant-event|fight-winner|D","Pobjednik","X"
"boxing|two-participant-event|fight-winner|A","Pobjednik","2"
"boxing|two-participant-event|fight-end|KO","Način pobjede","KO"
"boxing|two-participant-event|fight-end|D","Način pobjede","X"
"boxing|two-participant-event|fight-end|PNTS","Način pobjede","Poeni"
"cricket|match|match-winner|H","Pobjednik","1"
"cricket|match|match-winner|D","Pobjednik","X"
"cricket|match|match-winner|A","Pobjednik","2"
"cricket|match|two-way-winner-deadheat|H","Pobjednik (Dead Heat)","1"
"cricket|match|two-way-winner-deadheat|A","Pobjednik (Dead Heat)","2"
"cricket|match|two-way-winner-drawnobet|H","Draw No Bet","1"
"cricket|match|two-way-winner-drawnobet|A","Draw No Bet","2"
"cricket|match|fall-of-first-wicket-home|H-O","Domaćin prvi wicket (Manje/više od ${line})","Više od ${line}"
"cricket|match|fall-of-first-wicket-home|H-U","Domaćin prvi wicket (Manje/više od ${line})","Manje od ${line}"
"cricket|match|fall-of-first-wicket-home-away|A-O","Gost prvi wicket (Manje/više od ${line})","Više od ${line}"
"cricket|match|fall-of-first-wicket-home-away|A-U","Gost prvi wicket (Manje/više od ${line})","Manje od ${line}"
"cricket|match|first-lead-innings|H","Pobjednik nakon prvog ininga","1"
"cricket|match|first-lead-innings|D","Pobjednik nakon prvog ininga","X"
"cricket|match|first-lead-innings|A","Pobjednik nakon prvog ininga","2"
"cricket|match|opening-partnership|H","Pobjednik nakon prvog wicketa","1"
"cricket|match|opening-partnership|T","Pobjednik nakon prvog wicketa","X"
"cricket|match|opening-partnership|A","Pobjednik nakon prvog wicketa","2"
"cricket|match|first-over-line-home|H-O","Domaćin ranovi nakon prvog overa (Manje/više od ${line})","Više od ${line}"
"cricket|match|first-over-line-home|H-U","Domaćin ranovi nakon prvog overa (Manje/više od ${line})","Manje od ${line}"
"cricket|match|first-over-line-away|A-O","Gost ranovi nakon prvog overa (Manje/više od ${line})","Više od ${line}"
"cricket|match|first-over-line-away|A-U","Gost ranovi nakon prvog overa (Manje/više od ${line})","Manje od ${line}"
"cricket|match|first-over-runs-odd-even|O","Ranovi nakon prvog overa (Par/nepar)","Nepar"
"cricket|match|first-over-runs-odd-even|E","Ranovi nakon prvog overa (Par/nepar)","Par"
"cricket|match|first-wicket-dismissal-line-home|H-C","Način prvog izbacivanja (Domaćin)","Uhvaćen"
"cricket|match|first-wicket-dismissal-line-home|H-OTH","Način prvog izbacivanja (Domaćin)","Ostalo"
"cricket|match|first-wicket-dismissal-line-away|A-C","Način prvog izbacivanja (Gost)","Uhvaćen"
"cricket|match|first-wicket-dismissal-line-away|A-OTH","Način prvog izbacivanja (Gost)","Ostalo"
"cricket|match|boundaries-match-bet|H","Više 4s+6s","1"
"cricket|match|boundaries-match-bet|T","Više 4s+6s","X"
"cricket|match|boundaries-match-bet|A","Više 4s+6s","2"
"cricket|match|fours-line-home|H-O","Domaćin 4s (Manje/više od ${line})","Više od ${line}"
"cricket|match|fours-line-home|H-U","Domaćin 4s (Manje/više od ${line})","Manje od ${line}"
"cricket|match|fours-line-away|A-O","Gost 4s (Manje/više od ${line})","Više od ${line}"
"cricket|match|fours-line-away|A-U","Gost 4s (Manje/više od ${line})","Manje od ${line}"
"cricket|match|sixes-line-home|H-O","Domaćin 6s (Manje/više od ${line})","Više od ${line}"
"cricket|match|sixes-line-home|H-U","Domaćin 6s (Manje/više od ${line})","Manje od ${line}"
"cricket|match|sixes-line-away|A-O","Gost 6s (Manje/više od ${line})","Više od ${line}"
"cricket|match|sixes-line-away|A-U","Gost 6s (Manje/više od ${line})","Manje od ${line}"
"cricket|match|tied-match|Y","Jednak broj ranova","Da"
"cricket|match|tied-match|N","Jednak broj ranova","Ne"
"cricket|match|sixes-match-bet|H","Više 6s","1"
"cricket|match|sixes-match-bet|T","Više 6s","X"
"cricket|match|sixes-match-bet|A","Više 6s","2"
"cricket|match|will-runs-be-scored-by-first-ball|Y","Da li će biti ranova nakon prvog bacanja?","Da"
"cricket|match|will-runs-be-scored-by-first-ball|N","Da li će biti ranova nakon prvog bacanja?","Ne"
"darts|two-participant-event|match-winner-3|H","Pobjednik","1"
"darts|two-participant-event|match-winner-3|T","Pobjednik","X"
"darts|two-participant-event|match-winner-3|A","Pobjednik","2"
"darts|two-participant-event|match-winner-2|H","Pobjednik","1"
"darts|two-participant-event|match-winner-2|A","Pobjednik","2"
"darts|two-participant-event|asian-handicap|H","Hendikep (${line})","1"
"darts|two-participant-event|asian-handicap|A","Hendikep (${line})","2"
"darts|two-participant-event|total-legs|O","Ukupno legova (Manje/više od ${line})","Više od ${line}"
"darts|two-participant-event|total-legs|U","Ukupno legova (Manje/više od ${line})","Manje od ${line}"
"darts|two-participant-event|total-sets|O","Ukupno setova (Manje/više od ${line})","Više od ${line}"
"darts|two-participant-event|total-sets|U","Ukupno setova (Manje/više od ${line})","Manje od ${line}"
"darts|two-participant-event|correct-score|H1-0","Tačan rezultat","1:0"
"darts|two-participant-event|correct-score|A1-0","Tačan rezultat","0:1"
"darts|two-participant-event|correct-score|H2-0","Tačan rezultat","2:0"
"darts|two-participant-event|correct-score|A2-0","Tačan rezultat","0:2"
"darts|two-participant-event|correct-score|H3-0","Tačan rezultat","3:0"
"darts|two-participant-event|correct-score|A3-0","Tačan rezultat","0:3"
"darts|two-participant-event|correct-score|H4-0","Tačan rezultat","4:0"
"darts|two-participant-event|correct-score|A4-0","Tačan rezultat","0:4"
"darts|two-participant-event|correct-score|H5-0","Tačan rezultat","5:0"
"darts|two-participant-event|correct-score|A5-0","Tačan rezultat","0:5"
"darts|two-participant-event|correct-score|H6-0","Tačan rezultat","6:0"
"darts|two-participant-event|correct-score|A6-0","Tačan rezultat","0:6"
"darts|two-participant-event|correct-score|H7-0","Tačan rezultat","7:0"
"darts|two-participant-event|correct-score|A7-0","Tačan rezultat","0:7"
"darts|two-participant-event|correct-score|H8-0","Tačan rezultat","8:0"
"darts|two-participant-event|correct-score|A8-0","Tačan rezultat","0:8"
"darts|two-participant-event|correct-score|H9-0","Tačan rezultat","9:0"
"darts|two-participant-event|correct-score|A9-0","Tačan rezultat","0:9"
"darts|two-participant-event|correct-score|H10-0","Tačan rezultat","10:0"
"darts|two-participant-event|correct-score|A10-0","Tačan rezultat","0:10"
"darts|two-participant-event|correct-score|H11-0","Tačan rezultat","11:0"
"darts|two-participant-event|correct-score|A11-0","Tačan rezultat","0:11"
"darts|two-participant-event|correct-score|H12-0","Tačan rezultat","12:0"
"darts|two-participant-event|correct-score|A12-0","Tačan rezultat","0:12"
"darts|two-participant-event|correct-score|H13-0","Tačan rezultat","13:0"
"darts|two-participant-event|correct-score|A13-0","Tačan rezultat","0:13"
"darts|two-participant-event|correct-score|H14-0","Tačan rezultat","14:0"
"darts|two-participant-event|correct-score|A14-0","Tačan rezultat","0:14"
"darts|two-participant-event|correct-score|H15-0","Tačan rezultat","15:0"
"darts|two-participant-event|correct-score|A15-0","Tačan rezultat","0:15"
"darts|two-participant-event|correct-score|H16-0","Tačan rezultat","16:0"
"darts|two-participant-event|correct-score|A16-0","Tačan rezultat","0:16"
"darts|two-participant-event|correct-score|H17-0","Tačan rezultat","17:0"
"darts|two-participant-event|correct-score|A17-0","Tačan rezultat","0:17"
"darts|two-participant-event|correct-score|H18-0","Tačan rezultat","18:0"
"darts|two-participant-event|correct-score|A18-0","Tačan rezultat","0:18"
"darts|two-participant-event|correct-score|A1-0","Tačan rezultat","0:1"
"darts|two-participant-event|correct-score|H1-0","Tačan rezultat","1:0"
"darts|two-participant-event|correct-score|H2-1","Tačan rezultat","2:1"
"darts|two-participant-event|correct-score|A2-1","Tačan rezultat","1:2"
"darts|two-participant-event|correct-score|H3-1","Tačan rezultat","3:1"
"darts|two-participant-event|correct-score|A3-1","Tačan rezultat","1:3"
"darts|two-participant-event|correct-score|H4-1","Tačan rezultat","4:1"
"darts|two-participant-event|correct-score|A4-1","Tačan rezultat","1:4"
"darts|two-participant-event|correct-score|H5-1","Tačan rezultat","5:1"
"darts|two-participant-event|correct-score|A5-1","Tačan rezultat","1:5"
"darts|two-participant-event|correct-score|H6-1","Tačan rezultat","6:1"
"darts|two-participant-event|correct-score|A6-1","Tačan rezultat","1:6"
"darts|two-participant-event|correct-score|H7-1","Tačan rezultat","7:1"
"darts|two-participant-event|correct-score|A7-1","Tačan rezultat","1:7"
"darts|two-participant-event|correct-score|H8-1","Tačan rezultat","8:1"
"darts|two-participant-event|correct-score|A8-1","Tačan rezultat","1:8"
"darts|two-participant-event|correct-score|H9-1","Tačan rezultat","9:1"
"darts|two-participant-event|correct-score|A9-1","Tačan rezultat","1:9"
"darts|two-participant-event|correct-score|H10-1","Tačan rezultat","10:1"
"darts|two-participant-event|correct-score|A10-1","Tačan rezultat","1:10"
"darts|two-participant-event|correct-score|H11-1","Tačan rezultat","11:1"
"darts|two-participant-event|correct-score|A11-1","Tačan rezultat","1:11"
"darts|two-participant-event|correct-score|H12-1","Tačan rezultat","12:1"
"darts|two-participant-event|correct-score|A12-1","Tačan rezultat","1:12"
"darts|two-participant-event|correct-score|H13-1","Tačan rezultat","13:1"
"darts|two-participant-event|correct-score|A13-1","Tačan rezultat","1:13"
"darts|two-participant-event|correct-score|H14-1","Tačan rezultat","14:1"
"darts|two-participant-event|correct-score|A14-1","Tačan rezultat","1:14"
"darts|two-participant-event|correct-score|H15-1","Tačan rezultat","15:1"
"darts|two-participant-event|correct-score|A15-1","Tačan rezultat","1:15"
"darts|two-participant-event|correct-score|H16-1","Tačan rezultat","16:1"
"darts|two-participant-event|correct-score|A16-1","Tačan rezultat","1:16"
"darts|two-participant-event|correct-score|H17-1","Tačan rezultat","17:1"
"darts|two-participant-event|correct-score|A17-1","Tačan rezultat","1:17"
"darts|two-participant-event|correct-score|H18-1","Tačan rezultat","18:1"
"darts|two-participant-event|correct-score|A18-1","Tačan rezultat","1:18"
"darts|two-participant-event|correct-score|A2-0","Tačan rezultat","0:2"
"darts|two-participant-event|correct-score|H2-0","Tačan rezultat","2:0"
"darts|two-participant-event|correct-score|A2-1","Tačan rezultat","1:2"
"darts|two-participant-event|correct-score|H2-1","Tačan rezultat","2:1"
"darts|two-participant-event|correct-score|H3-2","Tačan rezultat","3:2"
"darts|two-participant-event|correct-score|A3-2","Tačan rezultat","2:3"
"darts|two-participant-event|correct-score|H4-2","Tačan rezultat","4:2"
"darts|two-participant-event|correct-score|A4-2","Tačan rezultat","2:4"
"darts|two-participant-event|correct-score|H5-2","Tačan rezultat","5:2"
"darts|two-participant-event|correct-score|A5-2","Tačan rezultat","2:5"
"darts|two-participant-event|correct-score|H6-2","Tačan rezultat","6:2"
"darts|two-participant-event|correct-score|A6-2","Tačan rezultat","2:6"
"darts|two-participant-event|correct-score|H7-2","Tačan rezultat","7:2"
"darts|two-participant-event|correct-score|A7-2","Tačan rezultat","2:7"
"darts|two-participant-event|correct-score|H8-2","Tačan rezultat","8:2"
"darts|two-participant-event|correct-score|A8-2","Tačan rezultat","2:8"
"darts|two-participant-event|correct-score|H9-2","Tačan rezultat","9:2"
"darts|two-participant-event|correct-score|A9-2","Tačan rezultat","2:9"
"darts|two-participant-event|correct-score|H10-2","Tačan rezultat","10:2"
"darts|two-participant-event|correct-score|A10-2","Tačan rezultat","2:10"
"darts|two-participant-event|correct-score|H11-2","Tačan rezultat","11:2"
"darts|two-participant-event|correct-score|A11-2","Tačan rezultat","2:11"
"darts|two-participant-event|correct-score|H12-2","Tačan rezultat","12:2"
"darts|two-participant-event|correct-score|A12-2","Tačan rezultat","2:12"
"darts|two-participant-event|correct-score|H13-2","Tačan rezultat","13:2"
"darts|two-participant-event|correct-score|A13-2","Tačan rezultat","2:13"
"darts|two-participant-event|correct-score|H14-2","Tačan rezultat","14:2"
"darts|two-participant-event|correct-score|A14-2","Tačan rezultat","2:14"
"darts|two-participant-event|correct-score|H15-2","Tačan rezultat","15:2"
"darts|two-participant-event|correct-score|A15-2","Tačan rezultat","2:15"
"darts|two-participant-event|correct-score|H16-2","Tačan rezultat","16:2"
"darts|two-participant-event|correct-score|A16-2","Tačan rezultat","2:16"
"darts|two-participant-event|correct-score|H17-2","Tačan rezultat","17:2"
"darts|two-participant-event|correct-score|A17-2","Tačan rezultat","2:17"
"darts|two-participant-event|correct-score|H18-2","Tačan rezultat","18:2"
"darts|two-participant-event|correct-score|A18-2","Tačan rezultat","2:18"
"darts|two-participant-event|correct-score|A3-0","Tačan rezultat","0:3"
"darts|two-participant-event|correct-score|H3-0","Tačan rezultat","3:0"
"darts|two-participant-event|correct-score|A3-1","Tačan rezultat","1:3"
"darts|two-participant-event|correct-score|H3-1","Tačan rezultat","3:1"
"darts|two-participant-event|correct-score|A3-2","Tačan rezultat","2:3"
"darts|two-participant-event|correct-score|H3-2","Tačan rezultat","3:2"
"darts|two-participant-event|correct-score|H4-3","Tačan rezultat","4:3"
"darts|two-participant-event|correct-score|A4-3","Tačan rezultat","3:4"
"darts|two-participant-event|correct-score|H5-3","Tačan rezultat","5:3"
"darts|two-participant-event|correct-score|A5-3","Tačan rezultat","3:5"
"darts|two-participant-event|correct-score|H6-3","Tačan rezultat","6:3"
"darts|two-participant-event|correct-score|A6-3","Tačan rezultat","3:6"
"darts|two-participant-event|correct-score|H7-3","Tačan rezultat","7:3"
"darts|two-participant-event|correct-score|A7-3","Tačan rezultat","3:7"
"darts|two-participant-event|correct-score|H8-3","Tačan rezultat","8:3"
"darts|two-participant-event|correct-score|A8-3","Tačan rezultat","3:8"
"darts|two-participant-event|correct-score|H9-3","Tačan rezultat","9:3"
"darts|two-participant-event|correct-score|A9-3","Tačan rezultat","3:9"
"darts|two-participant-event|correct-score|H10-3","Tačan rezultat","10:3"
"darts|two-participant-event|correct-score|A10-3","Tačan rezultat","3:10"
"darts|two-participant-event|correct-score|H11-3","Tačan rezultat","11:3"
"darts|two-participant-event|correct-score|A11-3","Tačan rezultat","3:11"
"darts|two-participant-event|correct-score|H12-3","Tačan rezultat","12:3"
"darts|two-participant-event|correct-score|A12-3","Tačan rezultat","3:12"
"darts|two-participant-event|correct-score|H13-3","Tačan rezultat","13:3"
"darts|two-participant-event|correct-score|A13-3","Tačan rezultat","3:13"
"darts|two-participant-event|correct-score|H14-3","Tačan rezultat","14:3"
"darts|two-participant-event|correct-score|A14-3","Tačan rezultat","3:14"
"darts|two-participant-event|correct-score|H15-3","Tačan rezultat","15:3"
"darts|two-participant-event|correct-score|A15-3","Tačan rezultat","3:15"
"darts|two-participant-event|correct-score|H16-3","Tačan rezultat","16:3"
"darts|two-participant-event|correct-score|A16-3","Tačan rezultat","3:16"
"darts|two-participant-event|correct-score|H17-3","Tačan rezultat","17:3"
"darts|two-participant-event|correct-score|A17-3","Tačan rezultat","3:17"
"darts|two-participant-event|correct-score|H18-3","Tačan rezultat","18:3"
"darts|two-participant-event|correct-score|A18-3","Tačan rezultat","3:18"
"darts|two-participant-event|correct-score|A4-0","Tačan rezultat","0:4"
"darts|two-participant-event|correct-score|H4-0","Tačan rezultat","4:0"
"darts|two-participant-event|correct-score|A4-1","Tačan rezultat","1:4"
"darts|two-participant-event|correct-score|H4-1","Tačan rezultat","4:1"
"darts|two-participant-event|correct-score|A4-2","Tačan rezultat","2:4"
"darts|two-participant-event|correct-score|H4-2","Tačan rezultat","4:2"
"darts|two-participant-event|correct-score|A4-3","Tačan rezultat","3:4"
"darts|two-participant-event|correct-score|H4-3","Tačan rezultat","4:3"
"darts|two-participant-event|correct-score|H5-4","Tačan rezultat","5:4"
"darts|two-participant-event|correct-score|A5-4","Tačan rezultat","4:5"
"darts|two-participant-event|correct-score|H6-4","Tačan rezultat","6:4"
"darts|two-participant-event|correct-score|A6-4","Tačan rezultat","4:6"
"darts|two-participant-event|correct-score|H7-4","Tačan rezultat","7:4"
"darts|two-participant-event|correct-score|A7-4","Tačan rezultat","4:7"
"darts|two-participant-event|correct-score|H8-4","Tačan rezultat","8:4"
"darts|two-participant-event|correct-score|A8-4","Tačan rezultat","4:8"
"darts|two-participant-event|correct-score|H9-4","Tačan rezultat","9:4"
"darts|two-participant-event|correct-score|A9-4","Tačan rezultat","4:9"
"darts|two-participant-event|correct-score|H10-4","Tačan rezultat","10:4"
"darts|two-participant-event|correct-score|A10-4","Tačan rezultat","4:10"
"darts|two-participant-event|correct-score|H11-4","Tačan rezultat","11:4"
"darts|two-participant-event|correct-score|A11-4","Tačan rezultat","4:11"
"darts|two-participant-event|correct-score|H12-4","Tačan rezultat","12:4"
"darts|two-participant-event|correct-score|A12-4","Tačan rezultat","4:12"
"darts|two-participant-event|correct-score|H13-4","Tačan rezultat","13:4"
"darts|two-participant-event|correct-score|A13-4","Tačan rezultat","4:13"
"darts|two-participant-event|correct-score|H14-4","Tačan rezultat","14:4"
"darts|two-participant-event|correct-score|A14-4","Tačan rezultat","4:14"
"darts|two-participant-event|correct-score|H15-4","Tačan rezultat","15:4"
"darts|two-participant-event|correct-score|A15-4","Tačan rezultat","4:15"
"darts|two-participant-event|correct-score|H16-4","Tačan rezultat","16:4"
"darts|two-participant-event|correct-score|A16-4","Tačan rezultat","4:16"
"darts|two-participant-event|correct-score|H17-4","Tačan rezultat","17:4"
"darts|two-participant-event|correct-score|A17-4","Tačan rezultat","4:17"
"darts|two-participant-event|correct-score|H18-4","Tačan rezultat","18:4"
"darts|two-participant-event|correct-score|A18-4","Tačan rezultat","4:18"
"darts|two-participant-event|correct-score|A5-0","Tačan rezultat","0:5"
"darts|two-participant-event|correct-score|H5-0","Tačan rezultat","5:0"
"darts|two-participant-event|correct-score|A5-1","Tačan rezultat","1:5"
"darts|two-participant-event|correct-score|H5-1","Tačan rezultat","5:1"
"darts|two-participant-event|correct-score|A5-2","Tačan rezultat","2:5"
"darts|two-participant-event|correct-score|H5-2","Tačan rezultat","5:2"
"darts|two-participant-event|correct-score|A5-3","Tačan rezultat","3:5"
"darts|two-participant-event|correct-score|H5-3","Tačan rezultat","5:3"
"darts|two-participant-event|correct-score|A5-4","Tačan rezultat","4:5"
"darts|two-participant-event|correct-score|H5-4","Tačan rezultat","5:4"
"darts|two-participant-event|correct-score|H6-5","Tačan rezultat","6:5"
"darts|two-participant-event|correct-score|A6-5","Tačan rezultat","5:6"
"darts|two-participant-event|correct-score|H7-5","Tačan rezultat","7:5"
"darts|two-participant-event|correct-score|A7-5","Tačan rezultat","5:7"
"darts|two-participant-event|correct-score|H8-5","Tačan rezultat","8:5"
"darts|two-participant-event|correct-score|A8-5","Tačan rezultat","5:8"
"darts|two-participant-event|correct-score|H9-5","Tačan rezultat","9:5"
"darts|two-participant-event|correct-score|A9-5","Tačan rezultat","5:9"
"darts|two-participant-event|correct-score|H10-5","Tačan rezultat","0:5"
"darts|two-participant-event|correct-score|A10-5","Tačan rezultat","5:10"
"darts|two-participant-event|correct-score|H11-5","Tačan rezultat","11:5"
"darts|two-participant-event|correct-score|A11-5","Tačan rezultat","5:11"
"darts|two-participant-event|correct-score|H12-5","Tačan rezultat","12:5"
"darts|two-participant-event|correct-score|A12-5","Tačan rezultat","5:12"
"darts|two-participant-event|correct-score|H13-5","Tačan rezultat","13:5"
"darts|two-participant-event|correct-score|A13-5","Tačan rezultat","5:13"
"darts|two-participant-event|correct-score|H14-5","Tačan rezultat","14:5"
"darts|two-participant-event|correct-score|A14-5","Tačan rezultat","5:14"
"darts|two-participant-event|correct-score|H15-5","Tačan rezultat","15:5"
"darts|two-participant-event|correct-score|A15-5","Tačan rezultat","5:15"
"darts|two-participant-event|correct-score|H16-5","Tačan rezultat","16:5"
"darts|two-participant-event|correct-score|A16-5","Tačan rezultat","5:16"
"darts|two-participant-event|correct-score|H17-5","Tačan rezultat","17:5"
"darts|two-participant-event|correct-score|A17-5","Tačan rezultat","5:17"
"darts|two-participant-event|correct-score|H18-5","Tačan rezultat","18:5"
"darts|two-participant-event|correct-score|A18-5","Tačan rezultat","5:18"
"darts|two-participant-event|correct-score|A6-0","Tačan rezultat","0:6"
"darts|two-participant-event|correct-score|H6-0","Tačan rezultat","6:0"
"darts|two-participant-event|correct-score|A6-1","Tačan rezultat","1:6"
"darts|two-participant-event|correct-score|H6-1","Tačan rezultat","6:1"
"darts|two-participant-event|correct-score|A6-2","Tačan rezultat","2:6"
"darts|two-participant-event|correct-score|H6-2","Tačan rezultat","6:2"
"darts|two-participant-event|correct-score|A6-3","Tačan rezultat","3:6"
"darts|two-participant-event|correct-score|H6-3","Tačan rezultat","6:3"
"darts|two-participant-event|correct-score|A6-4","Tačan rezultat","4:6"
"darts|two-participant-event|correct-score|H6-4","Tačan rezultat","6:4"
"darts|two-participant-event|correct-score|A6-5","Tačan rezultat","5:6"
"darts|two-participant-event|correct-score|H6-5","Tačan rezultat","6:5"
"darts|two-participant-event|correct-score|H7-6","Tačan rezultat","7:6"
"darts|two-participant-event|correct-score|A7-6","Tačan rezultat","6:7"
"darts|two-participant-event|correct-score|H8-6","Tačan rezultat","8:6"
"darts|two-participant-event|correct-score|A8-6","Tačan rezultat","6:8"
"darts|two-participant-event|correct-score|H9-6","Tačan rezultat","9:6"
"darts|two-participant-event|correct-score|A9-6","Tačan rezultat","6:9"
"darts|two-participant-event|correct-score|H10-6","Tačan rezultat","10:6"
"darts|two-participant-event|correct-score|A10-6","Tačan rezultat","6:10"
"darts|two-participant-event|correct-score|H11-6","Tačan rezultat","11:6"
"darts|two-participant-event|correct-score|A11-6","Tačan rezultat","6:11"
"darts|two-participant-event|correct-score|H12-6","Tačan rezultat","12:6"
"darts|two-participant-event|correct-score|A12-6","Tačan rezultat","6:12"
"darts|two-participant-event|correct-score|H13-6","Tačan rezultat","13:6"
"darts|two-participant-event|correct-score|A13-6","Tačan rezultat","6:13"
"darts|two-participant-event|correct-score|H14-6","Tačan rezultat","14:6"
"darts|two-participant-event|correct-score|A14-6","Tačan rezultat","6:14"
"darts|two-participant-event|correct-score|H15-6","Tačan rezultat","15:6"
"darts|two-participant-event|correct-score|A15-6","Tačan rezultat","6:15"
"darts|two-participant-event|correct-score|H16-6","Tačan rezultat","16:6"
"darts|two-participant-event|correct-score|A16-6","Tačan rezultat","6:16"
"darts|two-participant-event|correct-score|H17-6","Tačan rezultat","17:6"
"darts|two-participant-event|correct-score|A17-6","Tačan rezultat","6:17"
"darts|two-participant-event|correct-score|H18-6","Tačan rezultat","18:6"
