sportId,eventTemplateId,eventTemplateType,marketTemplateId,marketTemplateType,marketTemplateName,marketTemplateKey,selectionTemplateType,selectionTemplateName,selectionTemplateKeyType,selectionTemplateKeyId,selectionTemplateKeyName,selectionTemplateKey,selectionTemplateKeyRealId,ictKey,ictMarketTemplateName,ictSelectionTemplateName,Result-field1,Result-field2,Translated ictMarketTemplateName,Translated ictSelectionTemplateName,naziv,naziv2,opis,uslov_za_pogodak,naziv_ishoda1,opis_ishoda1,naziv_ishoda2,opis_ishoda2,naziv_ishoda3,opis_ishoda3,naziv_ishoda4,opis_ishoda4,naziv_ishoda5,opis_ishoda5,naziv_ishoda6,opis_ishoda6,naziv_ishoda7,opis_ishoda7,naziv_ishoda8,opis_ishoda8,naziv_ishoda9,opis_ishoda9,naziv_ishoda10,opis_ishoda10,naziv_ishoda11,opis_ishoda11,naziv_ishoda12,opis_ishoda12,naziv_ishoda13,opis_ishoda13,naziv_ishoda14,opis_ishoda14,naziv_ishoda15,opis_ishoda15,naziv_ishoda16,opis_ishoda16,naziv_ishoda17,opis_ishoda17,naziv_ishoda18,opis_ishoda18,naziv_ishoda19,opis_ishoda19,naziv_ishoda20,opis_ishoda20,naziv_ishoda21,opis_ishoda21,naziv_ishoda22,opis_ishoda22,naziv_ishoda23,opis_ishoda23,naziv_ishoda24,opis_ishoda24,naziv_ishoda25,opis_ishoda25,napomena,kladionicarska_podvrsta
americanfootball,two-participant-event,two-participants-event-template,two-way-handicap,market-template-two-ways-winner,Spread (${line}),"{'bettable': {'type': 'bettable-points'}, 'line': -1, 'timeRange': {'type': 'time-range-full-time'}, 'type': 'market-key-handicap'}",base-selection-template,${away} ${opposite-line},selection-key-away-line,,,{'type': 'selection-key-away-line'},A|${line},americanfootball|two-participant-event|two-way-handicap|A,Spread (${line}),${away} ${opposite-line},4:1,"GDFP=4, GGFP=1, SV1=${line}",Hendikep (${line}),2,NP39,Points Spreads - 2,Pobjeda favoriziranog tima s razlikom manjom od zadane ili poraz uključujući i produžetke,GDFP+SV1<GGFP,GDFP,Gol/poen/gem domacini ukljucujuci produzetke,GGFP,Gol/Poeni gosti ukljucujuci produzetke,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
australianrules,two-participant-event,two-participants-event-template,match-winner,market-template-three-ways-winner,Match winner,"{'bettable': {'type': 'bettable-goals'}, 'timeRange': {'type': 'time-range-full-time'}, 'type': 'market-key-three-ways-winner'}",base-selection-template,${home},selection-key-home,,,{'type': 'selection-key-home'},H,australianrules|two-participant-event|match-winner|H,Match winner,${home},3:1,"GDF=3, GGF=1",Pobjednik,1,NP1,Three Way - 1,Klađenje Na Utakmicu - Pobjeda prvonavedenog tima,GDF>GGF,GDF,Ukupno Gol/Poen/Set domaćin FT,GGF,Ukupno Gol/Poen/Set gost FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
australianrules,two-participant-event,two-participants-event-template,match-winner,market-template-three-ways-winner,Match winner,"{'bettable': {'type': 'bettable-goals'}, 'timeRange': {'type': 'time-range-full-time'}, 'type': 'market-key-three-ways-winner'}",base-selection-template,Draw,selection-key-draw,D,Draw,"{'id': 'D', 'name': 'Draw', 'type': 'selection-key-draw'}",D,australianrules|two-participant-event|match-winner|D,Match winner,Draw,2:2,"GDF=2, GGF=2",Pobjednik,X,NP3,Three Way - x,Klađenje Na Utakmicu - Bez pobjednika,GDF=GGF,GDF,Ukupno Gol/Poen/Set domaćin FT,GGF,Ukupno Gol/Poen/Set gost FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
australianrules,two-participant-event,two-participants-event-template,match-winner,market-template-three-ways-winner,Match winner,"{'bettable': {'type': 'bettable-goals'}, 'timeRange': {'type': 'time-range-full-time'}, 'type': 'market-key-three-ways-winner'}",base-selection-template,${away},selection-key-away,,,{'type': 'selection-key-away'},A,australianrules|two-participant-event|match-winner|A,Match winner,${away},1:4,"GDF=1, GGF=4",Pobjednik,2,NP2,Three Way - 2,Klađenje Na Utakmicu - Pobjeda drugonavedenog tima,GDF<GGF,GDF,Ukupno Gol/Poen/Set domaćin FT,GGF,Ukupno Gol/Poen/Set gost FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
australianrules,two-participant-event,two-participants-event-template,match-winner-no-draw,market-template-two-ways-winner,Match winner (No Draw),"{'bettable': {'type': 'bettable-goals'}, 'timeRange': {'type': 'time-range-full-time'}, 'type': 'market-key-two-way-winner'}",base-selection-template,${home},selection-key-home,,,{'type': 'selection-key-home'},H,australianrules|two-participant-event|match-winner-no-draw|H,Match winner (No Draw),${home},2:1,"GDFP=2, GGFP=1",Pobjednik (Uključujući produžetke),1,NP25,Two Way - 1,Pobjednik (uključujući produžetke) - Prvonavedeni tim,GDFP>GGFP,GGFP,Gol/Poeni gosti ukljucujuci produzetke,GDFP,Gol/poen/gem domacini ukljucujuci produzetke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
australianrules,two-participant-event,two-participants-event-template,match-winner-no-draw,market-template-two-ways-winner,Match winner (No Draw),"{'bettable': {'type': 'bettable-goals'}, 'timeRange': {'type': 'time-range-full-time'}, 'type': 'market-key-two-way-winner'}",base-selection-template,${away},selection-key-away,,,{'type': 'selection-key-away'},A,australianrules|two-participant-event|match-winner-no-draw|A,Match winner (No Draw),${away},1:3,"GDFP=1, GGFP=3",Pobjednik (Uključujući produžetke),2,NP26,Two Way - 2,Pobjednik (uključujući produžetke) - Drugonavedeni tim,GDFP<GGFP,GGFP,Gol/Poeni gosti ukljucujuci produzetke,GDFP,Gol/poen/gem domacini ukljucujuci produzetke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
baseball,two-participant-event,two-participants-event-template,asian-handicap-5-innings,market-template-two-ways-winner,1st 5 innings handicap (${line}),"{'bettable': {'type': 'bettable-points'}, 'line': -1, 'timeRange': {'no': 5, 'type': 'time-range-first-innings'}, 'type': 'market-key-asian-handicap'}",base-selection-template,${home} ${line},selection-key-home-line,,,{'type': 'selection-key-home-line'},H|${line},baseball|two-participant-event|asian-handicap-5-innings|H,1st 5 innings handicap (${line}),${home} ${line},22:11,"GD5=22, GG5=11, SV1=${line}",Prvih 5 ininga hendikep (${line}),1,NP165,1st 5 innings handicap,Prvih 5 ininga hendikep - Pobjeda prvonavedenog tima,GD5+SV1>GG5,GD5,Broj ranova prvonavedeong tima nakon prvih pet ininga,GG5,Broj ranova drugonavedeong tima nakon prvih pet ininga,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
baseball,two-participant-event,two-participants-event-template,asian-handicap-5-innings,market-template-two-ways-winner,1st 5 innings handicap (${line}),"{'bettable': {'type': 'bettable-points'}, 'line': -1, 'timeRange': {'no': 5, 'type': 'time-range-first-innings'}, 'type': 'market-key-asian-handicap'}",base-selection-template,${away} ${opposite-line},selection-key-away-line,,,{'type': 'selection-key-away-line'},A|${line},baseball|two-participant-event|asian-handicap-5-innings|A,1st 5 innings handicap (${line}),${away} ${opposite-line},10:9,"GD5=10, GG5=9, SV1=${line}",Prvih 5 ininga hendikep (${line}),2,NP166,1st 5 innings handicap,Prvih 5 ininga hendikep - Pobjeda drugonavedenog tima,GD5+SV1<GG5,GD5,Broj ranova prvonavedeong tima nakon prvih pet ininga,GG5,Broj ranova drugonavedeong tima nakon prvih pet ininga,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
baseball,two-participant-event,two-participants-event-template,asian-handicap-7-innings,market-template-two-ways-winner,1st 7 innings handicap (${line}),"{'bettable': {'type': 'bettable-points'}, 'line': -1, 'timeRange': {'no': 7, 'type': 'time-range-first-innings'}, 'type': 'market-key-asian-handicap'}",base-selection-template,${home} ${line},selection-key-home-line,,,{'type': 'selection-key-home-line'},H|${line},baseball|two-participant-event|asian-handicap-7-innings|H,1st 7 innings handicap (${line}),${home} ${line},23:11,"GD7=23, GG7=11, SV1=${line}",Prvih 7 ininga hendikep (${line}),1,NP167,1st 7 innings handicap,Prvih 7 ininga hendikep - Pobjeda prvonavedenog tima,GD7+SV1>GG7,GD7,Broj ranova prvonavedeong tima nakon prvih sedam ininga,GG7,Broj ranova drugonavedeong tima nakon prvih sedam ininga,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
baseball,two-participant-event,two-participants-event-template,asian-handicap-7-innings,market-template-two-ways-winner,1st 7 innings handicap (${line}),"{'bettable': {'type': 'bettable-points'}, 'line': -1, 'timeRange': {'no': 7, 'type': 'time-range-first-innings'}, 'type': 'market-key-asian-handicap'}",base-selection-template,${away} ${opposite-line},selection-key-away-line,,,{'type': 'selection-key-away-line'},A|${line},baseball|two-participant-event|asian-handicap-7-innings|A,1st 7 innings handicap (${line}),${away} ${opposite-line},10:11,"GD7=10, GG7=11, SV1=${line}",Prvih 7 ininga hendikep (${line}),2,NP168,1st 7 innings handicap,Prvih 7 ininga hendikep - Pobjeda drugonavedenog tima,GD7+SV1<GG7,GD7,Broj ranova prvonavedeong tima nakon prvih sedam ininga,GG7,Broj ranova drugonavedeong tima nakon prvih sedam ininga,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
baseball,two-participant-event,two-participants-event-template,total-points-over-under-5-innings,market-template-two-ways-winner,1st 5 innings runs (over/under ${line}),"{'bettable': {'type': 'bettable-runs'}, 'line': -1, 'timeRange': {'no': 5, 'type': 'time-range-first-innings'}, 'type': 'market-key-over-under'}",base-selection-template,Over ${line},selection-key-over,O,Over ${line},"{'id': 'O', 'name': 'Over ${line}', 'type': 'selection-key-over'}",O|${line},baseball|two-participant-event|total-points-over-under-5-innings|O,1st 5 innings runs (over/under ${line}),Over ${line},10:9,"GD5=10, GG5=9, SV1=${line}",Prvih 5 ininga ukupno ranova (Manje/više od ${line}),Više od ${line},NP169,1st 5 innings runs (over/under),Prvih 5 ininga broj ranova veći od zadanog,GD5+GG5>SV,GD5,Broj ranova prvonavedeong tima nakon prvih pet ininga,GG5,Broj ranova drugonavedeong tima nakon prvih pet ininga,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
baseball,two-participant-event,two-participants-event-template,total-points-over-under-5-innings,market-template-two-ways-winner,1st 5 innings runs (over/under ${line}),"{'bettable': {'type': 'bettable-runs'}, 'line': -1, 'timeRange': {'no': 5, 'type': 'time-range-first-innings'}, 'type': 'market-key-over-under'}",base-selection-template,Under ${line},selection-key-under,U,Under ${line},"{'id': 'U', 'name': 'Under ${line}', 'type': 'selection-key-under'}",U|${line},baseball|two-participant-event|total-points-over-under-5-innings|U,1st 5 innings runs (over/under ${line}),Under ${line},22:3,"GD5=22, GG5=3, SV1=$(line)",Prvih 5 ininga ukupno ranova (Manje/više od ${line}),Manje od ${line},NP170,1st 5 innings runs (over/under),Prvih 5 ininga broj ranova manji od zadanog,GD5+GG5<SV,GD5,Broj ranova prvonavedeong tima nakon prvih pet ininga,GG5,Broj ranova drugonavedeong tima nakon prvih pet ininga,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
baseball,two-participant-event,two-participants-event-template,total-points-over-under-7-innings,market-template-two-ways-winner,1st 7 innings runs (over/under ${line}),"{'bettable': {'type': 'bettable-runs'}, 'line': -1, 'timeRange': {'no': 7, 'type': 'time-range-first-innings'}, 'type': 'market-key-over-under'}",base-selection-template,Over ${line},selection-key-over,O,Over ${line},"{'id': 'O', 'name': 'Over ${line}', 'type': 'selection-key-over'}",O|${line},baseball|two-participant-event|total-points-over-under-7-innings|O,1st 7 innings runs (over/under ${line}),Over ${line},10:11,"GD7=10, GG7=11, SV1=${line}",Prvih 7 ininga ukupno ranova (Manje/više od ${line}),Više od ${line},NP171,1st 7 innings runs (over/under),Prvih 7 ininga broj ranova veći od zadanog,GD7+GG7>SV,GD7,Broj ranova prvonavedeong tima nakon prvih sedam ininga,GG7,Broj ranova drugonavedeong tima nakon prvih sedam ininga,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
baseball,two-participant-event,two-participants-event-template,total-points-over-under-7-innings,market-template-two-ways-winner,1st 7 innings runs (over/under ${line}),"{'bettable': {'type': 'bettable-runs'}, 'line': -1, 'timeRange': {'no': 7, 'type': 'time-range-first-innings'}, 'type': 'market-key-over-under'}",base-selection-template,Under ${line},selection-key-under,U,Under ${line},"{'id': 'U', 'name': 'Under ${line}', 'type': 'selection-key-under'}",U|${line},baseball|two-participant-event|total-points-over-under-7-innings|U,1st 7 innings runs (over/under ${line}),Under ${line},14:13,"GD7=14, GG7=13, SV1=${line}",Prvih 7 ininga ukupno ranova (Manje/više od ${line}),Manje od ${line},NP172,1st 7 innings runs (over/under),Prvih 7 ininga broj ranova manji od zadanog,GD7+GG7<SV,GD7,Broj ranova prvonavedeong tima nakon prvih sedam ininga,GG7,Broj ranova drugonavedeong tima nakon prvih sedam ininga,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
baseball,two-participant-event,two-participants-event-template,asian-handicap,market-template-two-ways-winner,Match handicap (${line}),"{'bettable': {'type': 'bettable-points'}, 'line': -1, 'timeRange': {'type': 'time-range-full-time'}, 'type': 'market-key-asian-handicap'}",base-selection-template,${home} ${line},selection-key-home-line,,,{'type': 'selection-key-home-line'},H|${line},baseball|two-participant-event|asian-handicap|H,Match handicap (${line}),${home} ${line},19:12,"GDFP=19, GGFP=12, SV1=${line}",Hendikep (${line}),1,NP38,Points Spreads - 1,Pobjeda favoriziranog tima s razlikom većom od zadane uključujući i produžetke,GDFP+SV1>GGFP,GDFP,Gol/poen/gem domacini ukljucujuci produzetke,GGFP,Gol/Poeni gosti ukljucujuci produzetke,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
baseball,two-participant-event,two-participants-event-template,asian-handicap,market-template-two-ways-winner,Match handicap (${line}),"{'bettable': {'type': 'bettable-points'}, 'line': -1, 'timeRange': {'type': 'time-range-full-time'}, 'type': 'market-key-asian-handicap'}",base-selection-template,${away} ${opposite-line},selection-key-away-line,,,{'type': 'selection-key-away-line'},A|${line},baseball|two-participant-event|asian-handicap|A,Match handicap (${line}),${away} ${opposite-line},18:15,"GDFP=18, GDFP=15, SV1=${line}",Hendikep (${line}),2,NP39,Points Spreads - 2,Pobjeda favoriziranog tima s razlikom manjom od zadane ili poraz uključujući i produžetke,GDFP+SV1<GGFP,GDFP,Gol/poen/gem domacini ukljucujuci produzetke,GGFP,Gol/Poeni gosti ukljucujuci produzetke,SV1,Granica 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
baseball,two-participant-event,two-participants-event-template,match-winner,market-template-two-ways-winner,Money Line,"{'bettable': {'type': 'bettable-points'}, 'timeRange': {'type': 'time-range-full-time'}, 'type': 'market-key-two-way-winner'}",base-selection-template,${home},selection-key-home,,,{'type': 'selection-key-home'},H,baseball|two-participant-event|match-winner|H,Money Line,${home},19:12,"GDFP=19, GGFP=12",Pobjednik (Uključujući dodatne ininge),1,NP25,Two Way - 1,Pobjednik (uključujući produžetke) - Prvonavedeni tim,GDFP>GGFP,GGFP,Gol/Poeni gosti ukljucujuci produzetke,GDFP,Gol/poen/gem domacini ukljucujuci produzetke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
baseball,two-participant-event,two-participants-event-template,match-winner,market-template-two-ways-winner,Money Line,"{'bettable': {'type': 'bettable-points'}, 'timeRange': {'type': 'time-range-full-time'}, 'type': 'market-key-two-way-winner'}",base-selection-template,${away},selection-key-away,,,{'type': 'selection-key-away'},A,baseball|two-participant-event|match-winner|A,Money Line,${away},18:15,"GDFP=18, GGFP=15",Pobjednik (Uključujući dodatne ininge),2,NP26,Two Way - 2,Pobjednik (uključujući produžetke) - Drugonavedeni tim,GDFP<GGFP,GGFP,Gol/Poeni gosti ukljucujuci produzetke,GDFP,Gol/poen/gem domacini ukljucujuci produzetke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
baseball,two-participant-event,two-participants-event-template,race-to,market-template-three-ways-winner,Race to ${line},"{'bettable': {'type': 'bettable-points'}, 'line': 0, 'timeRange': {'type': 'time-range-full-time'}, 'type': 'market-key-race-to'}",base-selection-template,${home},selection-key-home,,,{'type': 'selection-key-home'},H|${line},baseball|two-participant-event|race-to|H,Race to ${line},${home},23:7,UPP=1,Prvi tim do ${line} ranova,1,NP173,Race to X runs,Prvonavedeni tim prvi do X ranova ,UPP=1,UPP,"Prvi tim do X ranova (1-prvonavedeni, 2-drugonavedeni, 0-niko)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
baseball,two-participant-event,two-participants-event-template,race-to,market-template-three-ways-winner,Race to ${line},"{'bettable': {'type': 'bettable-points'}, 'line': 0, 'timeRange': {'type': 'time-range-full-time'}, 'type': 'market-key-race-to'}",base-selection-template,Neither,selection-key-draw,N,Neither,"{'id': 'N', 'name': 'Neither', 'type': 'selection-key-draw'}",N|${line},baseball|two-participant-event|race-to|N,Race to ${line},Neither,22:16,UPP=0,Prvi tim do ${line} ranova,X,NP174,Race to X runs,Nijedan tim X ranova,UPP=0,UPP,"Prvi tim do X ranova (1-prvonavedeni, 2-drugonavedeni, 0-niko)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_match_betting
